,otg_id,electrical_capacity,geom
7375,27339,35.55,0101000020E6100000C11A0E8BA24424405E22DA8355014A40
7376,24939,37.52,0101000020E610000093A736AAD00C2440FBF419C994694940
7377,24939,0,0101000020E610000093A736AAD00C2440FBF419C994694940
7378,24939,35.53,0101000020E610000093A736AAD00C2440FBF419C994694940
7379,25166,34.89,0101000020E61000000FC18A541DC52A40878EB49AC2504A40
7380,25166,0,0101000020E61000000FC18A541DC52A40878EB49AC2504A40
7381,25166,37.75,0101000020E61000000FC18A541DC52A40878EB49AC2504A40
7382,25574,37.40,0101000020E610000059D26279A8102C40EC7D456B28644A40
7383,25574,0,0101000020E610000059D26279A8102C40EC7D456B28644A40
7384,25574,5.90,0101000020E610000059D26279A8102C40EC7D456B28644A40
7385,25574,5.70,0101000020E610000059D26279A8102C40EC7D456B28644A40
7386,25574,0,0101000020E610000059D26279A8102C40EC7D456B28644A40
7387,24438,37.25,0101000020E61000009A4624B46B5724400BDD6A91EBE64840
7388,27088,0,0101000020E6100000F25CD7B56FC22640A3D3CF79D4794940
7389,27088,38.04,0101000020E6100000F25CD7B56FC22640A3D3CF79D4794940
7390,27088,0,0101000020E6100000F25CD7B56FC22640A3D3CF79D4794940
7391,26411,0,0101000020E6100000762360FD4C9B2640A7088D9D53B14840
7392,26411,38.11,0101000020E6100000762360FD4C9B2640A7088D9D53B14840
7393,25392,35.64,0101000020E6100000C0D5B5BC3DA62440B2F046477C184A40
7394,25222,0,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7395,25222,6.15,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7396,25222,0,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7397,25222,6.08,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7398,25222,6.13,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7399,25222,0,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7400,25222,0,0101000020E610000098716DB08C5F2240570400FAF7FC4840
7401,24594,35.26,0101000020E61000007D1A0861635C24402180DAB183AF4A40
7402,24614,0,0101000020E6100000D8F1B5CE30B72B40A45E0556847A4940
7403,24614,38.01,0101000020E6100000D8F1B5CE30B72B40A45E0556847A4940
7404,27336,37.72,0101000020E6100000D054ECE7B7862B4008802355CB7E4940
7405,27336,0,0101000020E6100000D054ECE7B7862B4008802355CB7E4940
7406,27336,38.06,0101000020E6100000D054ECE7B7862B4008802355CB7E4940
7407,27336,0,0101000020E6100000D054ECE7B7862B4008802355CB7E4940
7408,26573,34.63,0101000020E61000001B904265FBDA204020B7BD29C5464940
7409,26573,0,0101000020E61000001B904265FBDA204020B7BD29C5464940
7410,26572,0,0101000020E610000092759A920DE82040E6A7B2F5C4454940
7411,26572,36.38,0101000020E610000092759A920DE82040E6A7B2F5C4454940
7412,24698,17.60,0101000020E610000038EB4C1204F62040174BC993CCA84A40
7413,24698,0,0101000020E610000038EB4C1204F62040174BC993CCA84A40
7414,24698,35.73,0101000020E610000038EB4C1204F62040174BC993CCA84A40
7415,24698,0,0101000020E610000038EB4C1204F62040174BC993CCA84A40
7416,27545,0,0101000020E6100000E4B90799D68C234067BA9B71DB0A4A40
7417,27545,36.50,0101000020E6100000E4B90799D68C234067BA9B71DB0A4A40
7418,24555,0,0101000020E61000008066F52DA57128400FF05298C3084B40
7419,24555,34.91,0101000020E61000008066F52DA57128400FF05298C3084B40
7420,27520,0,0101000020E6100000E2271A087AF723401B4140BA28C54940
7421,25131,0,0101000020E6100000568943EECF4B2B40D7B9C9F54D8E4940
7422,25131,36.10,0101000020E6100000568943EECF4B2B40D7B9C9F54D8E4940
7423,25131,35.48,0101000020E6100000568943EECF4B2B40D7B9C9F54D8E4940
7424,25131,0,0101000020E6100000568943EECF4B2B40D7B9C9F54D8E4940
7425,25378,5.88,0101000020E61000008BD4DCB73199214067066CE460874940
7426,25378,0,0101000020E61000008BD4DCB73199214067066CE460874940
7427,25378,0.58,0101000020E61000008BD4DCB73199214067066CE460874940
7428,25378,37.33,0101000020E61000008BD4DCB73199214067066CE460874940
7429,25908,36.34,0101000020E6100000C6296371C2D4284036D2C2D59D204840
7430,25908,0,0101000020E6100000C6296371C2D4284036D2C2D59D204840
7431,28322,0,0101000020E6100000D94779B95C3A2840316838C5CD8C4840
7432,28322,37.92,0101000020E6100000D94779B95C3A2840316838C5CD8C4840
7433,24937,5.96,0101000020E6100000C4E2246962B62540D938471A098A4940
7434,24937,0,0101000020E6100000C4E2246962B62540D938471A098A4940
7435,24937,16.60,0101000020E6100000C4E2246962B62540D938471A098A4940
7436,24937,0,0101000020E6100000C4E2246962B62540D938471A098A4940
7437,24937,0,0101000020E6100000C4E2246962B62540D938471A098A4940
7438,24937,16.46,0101000020E6100000C4E2246962B62540D938471A098A4940
7439,24937,0,0101000020E6100000C4E2246962B62540D938471A098A4940
